Number,Player,Pos,HT,WT,Age,Current Team,YOS,Pre-Draft Team,Draft Status,Nationality
15,Brandon Clarke,PF,8-Jun,210,25,Memphis Grizzlies,2,Gonzaga,2019 Rnd 1 Pick 21,Canada
0,Jordan Clarkson,G,5-Jun,192,29,Utah Jazz,7,Missouri,2014 Rnd 2 Pick 16,United States
33,Nicolas Claxton,C,11-Jun,226,22,Brooklyn Nets,2,Georgia,2019 Rnd 2 Pick 1,United States
7,Amir Coffey,SF,7-Jun,210,25,Los Angeles Clippers,2,Minnesota,"2019 NBA Draft, Undrafted",United States
20,John Collins,PF,9-Jun,235,24,Atlanta Hawks,4,Wake Forest,2017 Rnd 1 Pick 19,United States
23,Zach Collins,C,11-Jun,250,24,San Antonio Spurs,4,Gonzaga,2017 Rnd 1 Pick 10,United States
11,Mike Conley,PG,1-Jun,175,34,Utah Jazz,14,Ohio State,2007 Rnd 1 Pick 4,United States
24,Pat Connaughton,SF,4-Jun,209,28,Milwaukee Bucks,6,Notre Dame,2015 Rnd 2 Pick 11,United States
25,Tyler Cook,C,8-Jun,255,24,Chicago Bulls,2,Iowa,"2019 NBA Draft, Undrafted",United States
2,Sharife Cooper,PG,1-Jun,180,21,Atlanta Hawks,0,Auburn,2021 Rnd 2 Pick 18,United States
21,Petr Cornelie,C,11-Jun,220,26,Denver Nuggets,0,Le Mans Sarthe Basket (France),2016 Rnd 2 Pick 23,France
15,DeMarcus Cousins,C,11-Jun,270,31,Milwaukee Bucks,11,Kentucky,2010 Rnd 1 Pick 5,United States
33,Robert Covington,F,7-Jun,209,30,Portland Trail Blazers,8,Tennessee State,"2013 NBA Draft, Undrafted",United States
13,Torrey Craig,GF,7-Jun,221,30,Indiana Pacers,4,USC Upstate,"2014 NBA Draft, Undrafted",United States
99,Jae Crowder,SF,6-Jun,235,31,Phoenix Suns,9,Marquette,2012 Rnd 2 Pick 4,United States
23,Jarrett Culver,SG,6-Jun,195,22,Memphis Grizzlies,2,Texas Tech,2019 Rnd 1 Pick 6,United States
2,Cade Cunningham,SF,6-Jun,220,20,Detroit Pistons,0,Oklahoma State,2021 Rnd 1 Pick 1,United States
31,Seth Curry,G,1-Jun,190,31,Philadelphia Sixers,8,Duke,"2013 NBA Draft, Undrafted",United States
30,Stephen Curry,G,3-Jun,193,33,Golden State Warriors,12,Davidson,2009 Rnd 1 Pick 7,United States
3,Anthony Davis,PF,10-Jun,253,28,Los Angeles Lakers,9,Kentucky,2012 Rnd 1 Pick 1,United States
17,Ed Davis,PF,9-Jun,218,32,Cleveland Cavaliers,11,North Carolina,2010 Rnd 1 Pick 13,United States
9,Terence Davis,SF,4-Jun,205,24,Sacramento Kings,2,Ole Miss,"2019 NBA Draft, Undrafted",United States
11,DeMar DeRozan,GF,6-Jun,220,32,Chicago Bulls,12,USC,2009 Rnd 1 Pick 9,United States
6,Gabriel Deck,F,8-Jun,232,26,Oklahoma City Thunder,1,Quimsa (Argentina),"2017 NBA Draft, Undrafted",Argentina
21,Dewayne Dedmon,PF,1-Jul,245,32,Miami Heat,8,USC,"2013 NBA Draft, Undrafted",United States
0,Donte DiVincenzo,SG,4-Jun,203,24,Milwaukee Bucks,3,Villanova,2018 Rnd 1 Pick 17,United States
6,Hamidou Diallo,SG,5-Jun,202,23,Detroit Pistons,3,Kentucky,2018 Rnd 2 Pick 15,United States
10,Gorgui Dieng,FC,10-Jun,250,31,Atlanta Hawks,8,Louisville,2013 Rnd 1 Pick 21,Senegal
26,Spencer Dinwiddie,PG,5-Jun,215,28,Washington Wizards,7,Colorado,2014 Rnd 2 Pick 8,United States
77,Luka Doncic,SF,7-Jun,230,22,Dallas Mavericks,3,Real Madrid (Spain),2018 Rnd 1 Pick 3,Slovenia
5,Luguentz Dort,PG,4-Jun,215,22,Oklahoma City Thunder,2,Arizona State,"2019 NBA Draft, Undrafted",Canada
12,Ayo Dosunmu,PG,5-Jun,200,21,Chicago Bulls,0,Illinois,2021 Rnd 2 Pick 8,United States
3,Devon Dotson,PG,1-Jun,185,22,Chicago Bulls,1,Kansas,"2020 NBA Draft, Undrafted",United States
4,Jeff Dowtin,PG,3-Jun,180,24,Golden State Warriors,0,Rhode Island,"2020 NBA Draft, Undrafted",United States
35,Pj Dozier,PG,6-Jun,205,25,Denver Nuggets,4,South Carolina,"2017 NBA Draft, Undrafted",United States
1,Goran Dragic,G,3-Jun,190,35,Toronto Raptors,13,Union Olimpija (Slovenia),2008 Rnd 2 Pick 15,Slovenia
1,Andre Drummond,C,10-Jun,280,28,Philadelphia Sixers,9,Connecticut,2012 Rnd 1 Pick 9,United States
3,Chris Duarte,PG,6-Jun,190,24,Indiana Pacers,0,Oregon,2021 Rnd 1 Pick 13,Canada
30,David Duke,SG,4-Jun,204,22,Brooklyn Nets,0,Providence,"2021 NBA Draft, Undrafted",United States
7,Kevin Durant,SF,10-Jun,225,33,Brooklyn Nets,14,Texas,2007 Rnd 1 Pick 2,United States
1,Anthony Edwards,SF,5-Jun,229,20,Minnesota Timberwolves,1,Georgia,2020 Rnd 1 Pick 1,United States
14,Kessler Edwards,SG,7-Jun,203,21,Brooklyn Nets,0,Pepperdine,2021 Rnd 2 Pick 14,United States
16,Cj Elleby,SF,6-Jun,200,21,Portland Trail Blazers,1,Washington State,2020 Rnd 2 Pick 16,United States
2,Wayne Ellington,SG,4-Jun,207,34,Los Angeles Lakers,12,North Carolina,2009 Rnd 1 Pick 28,United States
21,Joel Embiid,C,1-Jul,280,27,Philadelphia Sixers,7,Kansas,2014 Rnd 1 Pick 3,Cameroon
14,Drew Eubanks,C,10-Jun,245,24,San Antonio Spurs,3,Oregon State,"2018 NBA Draft, Undrafted",United States
99,Tacko Fall,C,6-Jul,250,25,Cleveland Cavaliers,2,UCF,"2019 NBA Draft, Undrafted",Senegal
15,Derrick Favors,FC,10-Jun,265,30,Oklahoma City Thunder,11,Georgia Tech,2010 Rnd 1 Pick 3,United States
28,Bruno Fernando,C,9-Jun,240,23,Boston Celtics,2,Maryland,2019 Rnd 2 Pick 4,Angola
10,Dorian Finney-Smith,SF,7-Jun,220,28,Dallas Mavericks,5,Florida,"2016 NBA Draft, Undrafted",United States
24,Malik Fitts,SF,8-Jun,230,24,Utah Jazz,1,Saint Mary's,"2020 NBA Draft, Undrafted",United States
8,Malachi Flynn,PG,1-Jun,185,23,Toronto Raptors,1,San Diego State,2020 Rnd 1 Pick 29,United States
7,Bryn Forbes,G,2-Jun,205,28,San Antonio Spurs,5,Michigan State,"2016 NBA Draft, Undrafted",United States
